3.979435s 79.43ms | mys [46 71]ms | c 27 | 000.000ms | 00pkts | hdr [95 95.00 20]ms 4/4 | Rq 00ms | s# 0402000023 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.993860s 93.86ms | mys [46 71]ms | c 27 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0302000024 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.057138s 57.14ms | mys [47 72]ms | c 27 | 000.000ms | 01pkts | hdr [23 40.22 48]ms 1/4 | Rq 00ms | s# 0102000027 | [#01]->[#02] | T 4 | 0054B | D 17ms | Bw 0.0Bps | pms# 0
4.080383s 80.38ms | mys [47 72]ms | c 28 | 000.000ms | 01pkts | hdr [96 96.01 21]ms 4/4 | Rq 00ms | s# 0402000024 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.093623s 93.62ms | mys [47 72]ms | c 28 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0302000025 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.160150s 60.15ms | mys [48 73]ms | c 28 | 000.000ms | 01pkts | hdr [24 43.23 49]ms 1/4 | Rq 00ms | s# 0102000028 | [#01]->[#02] | T 4 | 0054B | D 17ms | Bw 0.0Bps | pms# 0
4.181654s 81.65ms | mys [48 73]ms | c 29 | 000.000ms | 01pkts | hdr [97 97.00 22]ms 4/4 | Rq 00ms | s# 0402000025 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.193655s 93.66ms | mys [48 73]ms | c 29 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0302000026 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.263151s 63.15ms | mys [49 74]ms | c 29 | 000.000ms | 01pkts | hdr [25 46.24 50]ms 1/4 | Rq 00ms | s# 0102000029 | [#01]->[#02] | T 4 | 0054B | D 17ms | Bw 0.0Bps | pms# 0
4.281630s 81.63ms | mys [49 74]ms | c 30 | 000.000ms | 01pkts | hdr [97 97.01 22]ms 4/4 | Rq 00ms | s# 0402000026 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.293628s 93.63ms | mys [49 74]ms | c 30 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0302000027 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.382600s 82.60ms | mys [50 75]ms | c 31 | 000.000ms | 01pkts | hdr [98 98.01 23]ms 4/4 | Rq 00ms | s# 0402000027 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
