3.847613s 47.61ms | mys [45 70]ms | c 25 | 000.004ms | 00pkts | hdr [45 47.61 70]ms 2/4 | Rq 00ms | s# 0204000024 | [#02]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.948615s 48.62ms | mys [46 71]ms | c 26 | 000.003ms | 00pkts | hdr [46 48.61 71]ms 2/4 | Rq 00ms | s# 0201000025 | [#02]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.949618s 49.62ms | mys [46 71]ms | c 26 | 000.003ms | 00pkts | hdr [46 49.61 71]ms 2/4 | Rq 00ms | s# 0203000025 | [#02]->[#03] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.950621s 50.62ms | mys [46 71]ms | c 26 | 000.004ms | 00pkts | hdr [46 50.62 71]ms 2/4 | Rq 00ms | s# 0204000025 | [#02]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.051624s 51.62ms | mys [47 72]ms | c 27 | 000.003ms | 00pkts | hdr [47 51.62 72]ms 2/4 | Rq 00ms | s# 0201000026 | [#02]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.052625s 52.62ms | mys [47 72]ms | c 27 | 000.002ms | 00pkts | hdr [47 52.62 72]ms 2/4 | Rq 00ms | s# 0203000026 | [#02]->[#03] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.053634s 53.63ms | mys [47 72]ms | c 27 | 000.009ms | 00pkts | hdr [47 53.63 72]ms 2/4 | Rq 00ms | s# 0204000026 | [#02]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.154632s 54.63ms | mys [48 73]ms | c 28 | 000.004ms | 00pkts | hdr [48 54.63 73]ms 2/4 | Rq 00ms | s# 0201000027 | [#02]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.155661s 55.66ms | mys [48 73]ms | c 28 | 000.003ms | 00pkts | hdr [48 55.66 73]ms 2/4 | Rq 00ms | s# 0203000027 | [#02]->[#03] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.156663s 56.66ms | mys [48 73]ms | c 28 | 000.003ms | 00pkts | hdr [48 56.66 73]ms 2/4 | Rq 00ms | s# 0204000027 | [#02]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.257668s 57.67ms | mys [49 74]ms | c 29 | 000.003ms | 00pkts | hdr [49 57.66 74]ms 2/4 | Rq 00ms | s# 0201000028 | [#02]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.258671s 58.67ms | mys [49 74]ms | c 29 | 000.003ms | 00pkts | hdr [49 58.67 74]ms 2/4 | Rq 00ms | s# 0203000028 | [#02]->[#03] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.259675s 59.68ms | mys [49 74]ms | c 29 | 000.004ms | 00pkts | hdr [49 59.67 74]ms 2/4 | Rq 00ms | s# 0204000028 | [#02]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.360678s 60.68ms | mys [50 75]ms | c 30 | 000.003ms | 00pkts | hdr [50 60.68 75]ms 2/4 | Rq 00ms | s# 0201000029 | [#02]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.361682s 61.68ms | mys [50 75]ms | c 30 | 000.004ms | 00pkts | hdr [50 61.68 75]ms 2/4 | Rq 00ms | s# 0203000029 | [#02]->[#03] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.362683s 62.68ms | mys [50 75]ms | c 30 | 000.004ms | 00pkts | hdr [50 62.68 75]ms 2/4 | Rq 00ms | s# 0204000029 | [#02]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.463687s 63.69ms | mys [51 76]ms | c 31 | 000.003ms | 00pkts | hdr [51 63.68 76]ms 2/4 | Rq 00ms | s# 0201000030 | [#02]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.464689s 64.69ms | mys [51 76]ms | c 31 | 000.002ms | 00pkts | hdr [51 64.68 76]ms 2/4 | Rq 00ms | s# 0203000030 | [#02]->[#03] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.465694s 65.69ms | mys [51 76]ms | c 31 | 000.004ms | 00pkts | hdr [51 65.69 76]ms 2/4 | Rq 00ms | s# 0204000030 | [#02]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.566696s 66.70ms | mys [52 77]ms | c 32 | 000.003ms | 00pkts | hdr [52 66.69 77]ms 2/4 | Rq 00ms | s# 0201000031 | [#02]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.567701s 67.70ms | mys [52 77]ms | c 32 | 000.005ms | 00pkts | hdr [52 67.70 77]ms 2/4 | Rq 00ms | s# 0203000031 | [#02]->[#03] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.568703s 68.70ms | mys [52 77]ms | c 32 | 000.003ms | 00pkts | hdr [52 68.70 77]ms 2/4 | Rq 00ms | s# 0204000031 | [#02]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.669707s 69.71ms | mys [53 78]ms | c 33 | 000.003ms | 00pkts | hdr [53 69.70 78]ms 2/4 | Rq 00ms | s# 0201000032 | [#02]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.670827s 70.83ms | mys [53 78]ms | c 33 | 000.002ms | 00pkts | hdr [53 70.82 78]ms 2/4 | Rq 00ms | s# 0203000032 | [#02]->[#03] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.671829s 71.83ms | mys [53 78]ms | c 33 | 000.003ms | 00pkts | hdr [53 71.82 78]ms 2/4 | Rq 00ms | s# 0204000032 | [#02]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.772832s 72.83ms | mys [54 79]ms | c 34 | 000.002ms | 00pkts | hdr [54 72.83 79]ms 2/4 | Rq 00ms | s# 0201000033 | [#02]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.773836s 73.84ms | mys [54 79]ms | c 34 | 000.003ms | 00pkts | hdr [54 73.83 79]ms 2/4 | Rq 00ms | s# 0203000033 | [#02]->[#03] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.774839s 74.84ms | mys [54 79]ms | c 34 | 000.005ms | 00pkts | hdr [54 74.83 79]ms 2/4 | Rq 00ms | s# 0204000033 | [#02]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.875841s 75.84ms | mys [55 80]ms | c 35 | 000.002ms | 00pkts | hdr [55 75.84 80]ms 2/4 | Rq 00ms | s# 0201000034 | [#02]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.876844s 76.84ms | mys [55 80]ms | c 35 | 000.003ms | 00pkts | hdr [55 76.84 80]ms 2/4 | Rq 00ms | s# 0203000034 | [#02]->[#03] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.877846s 77.85ms | mys [55 80]ms | c 35 | 000.003ms | 00pkts | hdr [55 77.84 80]ms 2/4 | Rq 00ms | s# 0204000034 | [#02]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.978851s 78.85ms | mys [56 81]ms | c 36 | 000.004ms | 00pkts | hdr [56 78.85 81]ms 2/4 | Rq 00ms | s# 0201000035 | [#02]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
5.057007s 57.01ms | mys [57 82]ms | c 37 | 077.157ms | 01pkts | hdr [57 57.00 82]ms 2/4 | Rq 00ms | s# 0203000035 | [#02]->[#03] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
5.057012s 57.01ms | mys [57 82]ms | c 37 | 076.159ms | 00pkts | hdr [57 57.01 82]ms 2/4 | Rq 00ms | s# 0204000035 | [#02]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
5.158004s 58.00ms | mys [58 83]ms | c 38 | 076.146ms | 02pkts | hdr [58 58.00 83]ms 2/4 | Rq 00ms | s# 0201000036 | [#02]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
5.158008s 58.01ms | mys [58 83]ms | c 38 | 075.149ms | 01pkts | hdr [58 58.01 83]ms 2/4 | Rq 00ms | s# 0203000036 | [#02]->[#03] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
5.158010s 58.01ms | mys [58 83]ms | c 38 | 074.150ms | 00pkts | hdr [58 58.01 83]ms 2/4 | Rq 00ms | s# 0204000036 | [#02]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
5.259003s 59.00ms | mys [59 84]ms | c 39 | 074.139ms | 02pkts | hdr [59 59.00 84]ms 2/4 | Rq 00ms | s# 0201000037 | [#02]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
5.259007s 59.01ms | mys [59 84]ms | c 39 | 073.141ms | 01pkts | hdr [59 59.00 84]ms 2/4 | Rq 00ms | s# 0203000037 | [#02]->[#03] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
5.259030s 59.03ms | mys [59 84]ms | c 39 | 072.163ms | 00pkts | hdr [59 59.03 84]ms 2/4 | Rq 00ms | s# 0204000037 | [#02]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
5.360006s 60.01ms | mys [60 85]ms | c 40 | 072.136ms | 02pkts | hdr [60 60.00 85]ms 2/4 | Rq 00ms | s# 0201000038 | [#02]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
5.360009s 60.01ms | mys [60 85]ms | c 40 | 071.137ms | 01pkts | hdr [60 60.01 85]ms 2/4 | Rq 00ms | s# 0203000038 | [#02]->[#03] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
5.360009s 60.01ms | mys [60 85]ms | c 40 | 070.134ms | 00pkts | hdr [60 60.01 85]ms 2/4 | Rq 00ms | s# 0204000038 | [#02]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
5.461004s 61.00ms | mys [61 86]ms | c 41 | 070.125ms | 02pkts | hdr [61 61.00 86]ms 2/4 | Rq 00ms | s# 0201000039 | [#02]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
5.461007s 61.01ms | mys [61 86]ms | c 41 | 069.127ms | 01pkts | hdr [61 61.00 86]ms 2/4 | Rq 00ms | s# 0203000039 | [#02]->[#03] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
