eventid init_us end_us type
<id209> #1->#1. Wnd[5700000-5775000]us. Type ESENSOR
<id212> #1->#1. Wnd[5700000-5775100]us. Type ISENSOR
<id210> #2->#2. Wnd[5700000-5850000]us. Type ESENSOR
<id213> #2->#2. Wnd[5700000-5850100]us. Type ISENSOR
<id211> #3->#3. Wnd[5700000-5925000]us. Type ESENSOR
<id214> #3->#3. Wnd[5700000-5925100]us. Type ISENSOR
<id215> #1->#1. Wnd[6000000-6075000]us. Type ESENSOR
<id218> #1->#1. Wnd[6000000-6075100]us. Type ISENSOR
<id216> #2->#2. Wnd[6000000-6150000]us. Type ESENSOR
<id219> #2->#2. Wnd[6000000-6150100]us. Type ISENSOR
<id217> #3->#3. Wnd[6000000-6225000]us. Type ESENSOR
<id220> #3->#3. Wnd[6000000-6225100]us. Type ISENSOR
<id227> #1->#2. Wnd[6336139-6336272]us. Type 80211
<id227> #1->#2. Wnd[6336139-6336272]us. Type 80211
<id228> #1->#3. Wnd[6337148-6337281]us. Type 80211
<id228> #1->#3. Wnd[6337148-6337281]us. Type 80211
<id221> #1->#1. Wnd[6300000-6375000]us. Type ESENSOR
<id224> #1->#1. Wnd[6300000-6375100]us. Type ISENSOR
<id222> #2->#2. Wnd[6300000-6450000]us. Type ESENSOR
<id225> #2->#2. Wnd[6300000-6450100]us. Type ISENSOR
<id229> #1->#2. Wnd[6456135-6456268]us. Type 80211
<id229> #1->#2. Wnd[6456135-6456268]us. Type 80211
<id230> #1->#3. Wnd[6457136-6457269]us. Type 80211
<id230> #1->#3. Wnd[6457136-6457269]us. Type 80211
<id231> #2->#1. Wnd[6480895-6481028]us. Type 80211
<id231> #2->#1. Wnd[6480895-6481028]us. Type 80211
<id232> #2->#3. Wnd[6481895-6482028]us. Type 80211
<id232> #2->#3. Wnd[6481895-6482028]us. Type 80211
<id223> #3->#3. Wnd[6300000-6525000]us. Type ESENSOR
<id226> #3->#3. Wnd[6300000-6525100]us. Type ISENSOR
<id233> #1->#2. Wnd[6576141-6576274]us. Type 80211
<id233> #1->#2. Wnd[6576141-6576274]us. Type 80211
<id234> #1->#3. Wnd[6577139-6577272]us. Type 80211
<id234> #1->#3. Wnd[6577139-6577272]us. Type 80211
<id241> #2->#1. Wnd[6600888-6601021]us. Type 80211
<id241> #2->#1. Wnd[6600888-6601021]us. Type 80211
<id242> #2->#3. Wnd[6601889-6602022]us. Type 80211
<id242> #2->#3. Wnd[6601889-6602022]us. Type 80211
<id235> #1->#1. Wnd[6600000-6675000]us. Type ESENSOR
<id238> #1->#1. Wnd[6600000-6675100]us. Type ISENSOR
<id243> #1->#2. Wnd[6696142-6696275]us. Type 80211
<id243> #1->#2. Wnd[6696142-6696275]us. Type 80211
<id244> #1->#3. Wnd[6697142-6697275]us. Type 80211
<id244> #1->#3. Wnd[6697142-6697275]us. Type 80211
<id245> #2->#1. Wnd[6720895-6721028]us. Type 80211
<id245> #2->#1. Wnd[6720895-6721028]us. Type 80211
<id246> #2->#3. Wnd[6721888-6722021]us. Type 80211
<id246> #2->#3. Wnd[6721888-6722021]us. Type 80211
<id236> #2->#2. Wnd[6600000-6750000]us. Type ESENSOR
<id239> #2->#2. Wnd[6600000-6750100]us. Type ISENSOR
<id247> #1->#2. Wnd[6816141-6816274]us. Type 80211
<id247> #1->#2. Wnd[6816141-6816274]us. Type 80211
<id248> #1->#3. Wnd[6817138-6817271]us. Type 80211
<id248> #1->#3. Wnd[6817138-6817271]us. Type 80211
<id237> #3->#3. Wnd[6600000-6825000]us. Type ESENSOR
<id240> #3->#3. Wnd[6600000-6825100]us. Type ISENSOR
<id249> #2->#1. Wnd[6840889-6841022]us. Type 80211
<id249> #2->#1. Wnd[6840889-6841022]us. Type 80211
<id250> #2->#3. Wnd[6841892-6842025]us. Type 80211
<id250> #2->#3. Wnd[6841892-6842025]us. Type 80211
<id257> #1->#2. Wnd[6936136-6936269]us. Type 80211
<id257> #1->#2. Wnd[6936136-6936269]us. Type 80211
<id258> #1->#3. Wnd[6937140-6937273]us. Type 80211
<id258> #1->#3. Wnd[6937140-6937273]us. Type 80211
<id259> #2->#1. Wnd[6960891-6961024]us. Type 80211
<id259> #2->#1. Wnd[6960891-6961024]us. Type 80211
<id260> #2->#3. Wnd[6961891-6962024]us. Type 80211
<id260> #2->#3. Wnd[6961891-6962024]us. Type 80211
<id251> #1->#1. Wnd[6900000-6975000]us. Type ESENSOR
<id254> #1->#1. Wnd[6900000-6975100]us. Type ISENSOR
<id252> #2->#2. Wnd[6900000-7050000]us. Type ESENSOR
<id255> #2->#2. Wnd[6900000-7050100]us. Type ISENSOR
<id261> #1->#2. Wnd[7056136-7056269]us. Type 80211
<id261> #1->#2. Wnd[7056136-7056269]us. Type 80211
<id262> #1->#3. Wnd[7057135-7057268]us. Type 80211
<id262> #1->#3. Wnd[7057135-7057268]us. Type 80211
